data,id_campanha,nome_campanha,utm_source,utm_campaign,impressoes,cliques,gasto
2025-01-25,M-001,Awareness_Geral,facebook,awareness_geral,6598,131,329.34
2025-01-26,M-001,Awareness_Geral,facebook,awareness_geral,8099,161,274.83
2025-01-27,M-001,Awareness_Geral,facebook,awareness_geral,8473,169,254.03
2025-01-28,M-001,Awareness_Geral,facebook,awareness_geral,8813,176,238.46
2025-01-29,M-001,Awareness_Geral,facebook,awareness_geral,8184,163,312.99
2025-01-30,M-001,Awareness_Geral,facebook,awareness_geral,8521,170,314.85
2025-01-31,M-001,Awareness_Geral,facebook,awareness_geral,8232,164,314.65
2025-02-01,M-001,Awareness_Geral,facebook,awareness_geral,6808,136,332.83
2025-02-02,M-001,Awareness_Geral,facebook,awareness_geral,7179,143,348.17
2025-02-03,M-001,Awareness_Geral,facebook,awareness_geral,7754,155,262.31
2025-02-04,M-001,Awareness_Geral,facebook,awareness_geral,8341,166,313.83
2025-02-05,M-001,Awareness_Geral,facebook,awareness_geral,7735,154,436.01
2025-02-06,M-001,Awareness_Geral,facebook,awareness_geral,8482,169,288.83
2025-02-07,M-001,Awareness_Geral,facebook,awareness_geral,7153,143,224.26
2025-02-08,M-001,Awareness_Geral,facebook,awareness_geral,6754,135,308.66
2025-02-09,M-001,Awareness_Geral,facebook,awareness_geral,8058,161,242.85
2025-02-10,M-001,Awareness_Geral,facebook,awareness_geral,9053,181,231.12
2025-02-11,M-001,Awareness_Geral,facebook,awareness_geral,8515,170,492.64
2025-02-12,M-001,Awareness_Geral,facebook,awareness_geral,8651,173,284.24
2025-02-13,M-001,Awareness_Geral,facebook,awareness_geral,7514,150,304.09
2025-02-14,M-001,Awareness_Geral,facebook,awareness_geral,6387,127,276.4
2025-02-15,M-001,Awareness_Geral,facebook,awareness_geral,7284,145,333.98
2025-02-16,M-001,Awareness_Geral,facebook,awareness_geral,7348,146,407.2
2025-02-17,M-001,Awareness_Geral,facebook,awareness_geral,7338,146,342.62
2025-02-18,M-001,Awareness_Geral,facebook,awareness_geral,8865,177,239.99
2025-02-19,M-001,Awareness_Geral,facebook,awareness_geral,9765,195,320.25
2025-02-20,M-001,Awareness_Geral,facebook,awareness_geral,9032,180,224.03
2025-02-21,M-001,Awareness_Geral,facebook,awareness_geral,8443,168,338.73
2025-02-22,M-001,Awareness_Geral,facebook,awareness_geral,6975,139,287.37
2025-02-23,M-001,Awareness_Geral,facebook,awareness_geral,7559,151,306.54
2025-02-24,M-001,Awareness_Geral,facebook,awareness_geral,8010,160,250.92
2025-02-25,M-001,Awareness_Geral,facebook,awareness_geral,8069,161,280.73
2025-02-26,M-001,Awareness_Geral,facebook,awareness_geral,6762,135,406.65
2025-02-27,M-001,Awareness_Geral,facebook,awareness_geral,8280,165,268.87
2025-02-28,M-001,Awareness_Geral,facebook,awareness_geral,8849,176,317.85
2025-03-01,M-001,Awareness_Geral,facebook,awareness_geral,8812,176,331.48
2025-03-02,M-001,Awareness_Geral,facebook,awareness_geral,8610,172,298.95
2025-03-03,M-001,Awareness_Geral,facebook,awareness_geral,8547,170,289.89
2025-03-04,M-001,Awareness_Geral,facebook,awareness_geral,8813,176,365.27
2025-03-05,M-001,Awareness_Geral,facebook,awareness_geral,8324,166,293.49
2025-03-06,M-001,Awareness_Geral,facebook,awareness_geral,10092,201,249.7
2025-03-07,M-001,Awareness_Geral,facebook,awareness_geral,8624,172,331.42
2025-03-08,M-001,Awareness_Geral,facebook,awareness_geral,7322,146,348.76
2025-03-09,M-001,Awareness_Geral,facebook,awareness_geral,8412,168,271.81
2025-03-10,M-001,Awareness_Geral,facebook,awareness_geral,7493,149,276.45
2025-03-11,M-001,Awareness_Geral,facebook,awareness_geral,7281,145,289.33
2025-03-12,M-001,Awareness_Geral,facebook,awareness_geral,7840,156,299.05
2025-03-13,M-001,Awareness_Geral,facebook,awareness_geral,8322,166,258.64
2025-03-14,M-001,Awareness_Geral,facebook,awareness_geral,8401,168,334.51
2025-03-15,M-001,Awareness_Geral,facebook,awareness_geral,8097,161,261.35
2025-03-16,M-001,Awareness_Geral,facebook,awareness_geral,8959,179,407.66
2025-03-17,M-001,Awareness_Geral,facebook,awareness_geral,10189,203,259.59
2025-03-18,M-001,Awareness_Geral,facebook,awareness_geral,7474,149,262.04
2025-03-19,M-001,Awareness_Geral,facebook,awareness_geral,8950,179,271.15
2025-03-20,M-001,Awareness_Geral,facebook,awareness_geral,9831,196,358.97
2025-03-21,M-001,Awareness_Geral,facebook,awareness_geral,7885,157,361.89
2025-03-22,M-001,Awareness_Geral,facebook,awareness_geral,8046,160,277.5
2025-03-23,M-001,Awareness_Geral,facebook,awareness_geral,8120,162,325.72
2025-03-24,M-001,Awareness_Geral,facebook,awareness_geral,9277,185,316.62
2025-03-25,M-001,Awareness_Geral,facebook,awareness_geral,9179,183,303.38
2025-03-26,M-001,Awareness_Geral,facebook,awareness_geral,8971,179,332.27
2025-03-27,M-001,Awareness_Geral,facebook,awareness_geral,9058,181,212.06
2025-03-28,M-001,Awareness_Geral,facebook,awareness_geral,8717,174,375.12
2025-03-29,M-001,Awareness_Geral,facebook,awareness_geral,6296,125,297.22
2025-03-30,M-001,Awareness_Geral,facebook,awareness_geral,7910,158,234.78
2025-03-31,M-001,Awareness_Geral,facebook,awareness_geral,7486,149,247.04
2025-04-01,M-001,Awareness_Geral,facebook,awareness_geral,8504,170,273.49
2025-04-02,M-001,Awareness_Geral,facebook,awareness_geral,7446,148,240.11
2025-04-03,M-001,Awareness_Geral,facebook,awareness_geral,8213,164,294.38
2025-04-04,M-001,Awareness_Geral,facebook,awareness_geral,7469,149,271.21
2025-04-05,M-001,Awareness_Geral,facebook,awareness_geral,9366,187,382.25
2025-04-06,M-001,Awareness_Geral,facebook,awareness_geral,11078,221,355.98
2025-04-07,M-001,Awareness_Geral,facebook,awareness_geral,8203,164,262.18
2025-04-08,M-001,Awareness_Geral,facebook,awareness_geral,9687,193,344.08
2025-04-09,M-001,Awareness_Geral,facebook,awareness_geral,7138,142,376.16
2025-04-10,M-001,Awareness_Geral,facebook,awareness_geral,7124,142,230.86
2025-04-11,M-001,Awareness_Geral,facebook,awareness_geral,8562,171,267.47
2025-04-12,M-001,Awareness_Geral,facebook,awareness_geral,8048,160,258.45
2025-04-13,M-001,Awareness_Geral,facebook,awareness_geral,7092,141,271.16
2025-04-14,M-001,Awareness_Geral,facebook,awareness_geral,8099,161,337.57
2025-04-15,M-001,Awareness_Geral,facebook,awareness_geral,8570,171,261.84
2025-04-16,M-001,Awareness_Geral,facebook,awareness_geral,8259,165,254.78
2025-04-17,M-001,Awareness_Geral,facebook,awareness_geral,6788,135,267.41
2025-04-18,M-001,Awareness_Geral,facebook,awareness_geral,9006,180,271.16
2025-04-19,M-001,Awareness_Geral,facebook,awareness_geral,9441,188,176.42
2025-04-20,M-001,Awareness_Geral,facebook,awareness_geral,8371,167,269.8
2025-04-21,M-001,Awareness_Geral,facebook,awareness_geral,8254,165,316.88
2025-04-22,M-001,Awareness_Geral,facebook,awareness_geral,8394,167,278.95
2025-04-23,M-001,Awareness_Geral,facebook,awareness_geral,7673,153,360.06
2025-04-24,M-001,Awareness_Geral,facebook,awareness_geral,6129,122,282.42
2025-04-25,M-001,Awareness_Geral,facebook,awareness_geral,7780,155,341.47
2025-04-26,M-001,Awareness_Geral,facebook,awareness_geral,6521,130,357.19
2025-04-27,M-001,Awareness_Geral,facebook,awareness_geral,10270,205,309.09
2025-04-28,M-001,Awareness_Geral,facebook,awareness_geral,8830,176,257.2
2025-04-29,M-001,Awareness_Geral,facebook,awareness_geral,8333,166,351.88
2025-04-30,M-001,Awareness_Geral,facebook,awareness_geral,7555,151,318.87
2025-05-01,M-001,Awareness_Geral,facebook,awareness_geral,9355,187,320.67
2025-05-02,M-001,Awareness_Geral,facebook,awareness_geral,6221,124,374.8
2025-05-03,M-001,Awareness_Geral,facebook,awareness_geral,6874,137,422.29
2025-05-04,M-001,Awareness_Geral,facebook,awareness_geral,8481,169,311.19
2025-05-05,M-001,Awareness_Geral,facebook,awareness_geral,9345,186,379.66
2025-05-06,M-001,Awareness_Geral,facebook,awareness_geral,8055,161,354.71
2025-05-07,M-001,Awareness_Geral,facebook,awareness_geral,7573,151,249.39
2025-05-08,M-001,Awareness_Geral,facebook,awareness_geral,6710,134,235.25
2025-05-09,M-001,Awareness_Geral,facebook,awareness_geral,6496,129,287.71
2025-05-10,M-001,Awareness_Geral,facebook,awareness_geral,7769,155,334.81
2025-05-11,M-001,Awareness_Geral,facebook,awareness_geral,6893,137,428.67
2025-05-12,M-001,Awareness_Geral,facebook,awareness_geral,8198,163,292.78
2025-05-13,M-001,Awareness_Geral,facebook,awareness_geral,7456,149,264.36
2025-05-14,M-001,Awareness_Geral,facebook,awareness_geral,5349,106,354.58
2025-05-15,M-001,Awareness_Geral,facebook,awareness_geral,7628,152,229.62
2025-05-16,M-001,Awareness_Geral,facebook,awareness_geral,8935,178,363.58
2025-05-17,M-001,Awareness_Geral,facebook,awareness_geral,8489,169,238.89
2025-05-18,M-001,Awareness_Geral,facebook,awareness_geral,8710,174,322.21
2025-05-19,M-001,Awareness_Geral,facebook,awareness_geral,8615,172,329.66
2025-05-20,M-001,Awareness_Geral,facebook,awareness_geral,8924,178,290.75
2025-05-21,M-001,Awareness_Geral,facebook,awareness_geral,6591,131,222.17
2025-05-22,M-001,Awareness_Geral,facebook,awareness_geral,5918,118,384.82
2025-05-23,M-001,Awareness_Geral,facebook,awareness_geral,8399,167,298.12
2025-05-24,M-001,Awareness_Geral,facebook,awareness_geral,7636,152,297.15
2025-05-25,M-001,Awareness_Geral,facebook,awareness_geral,8743,174,308.54
2025-05-26,M-001,Awareness_Geral,facebook,awareness_geral,7460,149,261.08
2025-05-27,M-001,Awareness_Geral,facebook,awareness_geral,6297,125,351.46
2025-05-28,M-001,Awareness_Geral,facebook,awareness_geral,9665,193,350.72
2025-05-29,M-001,Awareness_Geral,facebook,awareness_geral,8026,160,325.88
2025-05-30,M-001,Awareness_Geral,facebook,awareness_geral,7388,147,229.67
2025-05-31,M-001,Awareness_Geral,facebook,awareness_geral,9053,181,252.53
2025-06-01,M-001,Promo_50_Off,facebook,promo_50_off,25708,514,870.03
2025-06-02,M-001,Promo_50_Off,facebook,promo_50_off,29519,590,914.93
2025-06-03,M-001,Promo_50_Off,facebook,promo_50_off,26865,537,981.24
2025-06-04,M-001,Promo_50_Off,facebook,promo_50_off,34862,697,862.18
2025-06-05,M-001,Promo_50_Off,facebook,promo_50_off,29627,592,862.07
2025-06-06,M-001,Promo_50_Off,facebook,promo_50_off,33052,661,855.98
2025-06-07,M-001,Promo_50_Off,facebook,promo_50_off,29649,592,633.9
2025-06-08,M-001,Promo_50_Off,facebook,promo_50_off,23616,472,691.89
2025-06-09,M-001,Promo_50_Off,facebook,promo_50_off,30141,602,802.98
2025-06-10,M-001,Promo_50_Off,facebook,promo_50_off,27688,553,756.55
2025-06-11,M-001,Promo_50_Off,facebook,promo_50_off,36278,725,710.54
2025-06-12,M-001,Promo_50_Off,facebook,promo_50_off,30982,619,903.18
2025-06-13,M-001,Promo_50_Off,facebook,promo_50_off,30411,608,906.55
2025-06-14,M-001,Promo_50_Off,facebook,promo_50_off,28185,563,755.45
2025-06-15,M-001,Promo_50_Off,facebook,promo_50_off,27899,557,771.82
2025-06-16,M-001,Promo_50_Off,facebook,promo_50_off,26161,523,796.53
2025-06-17,M-001,Promo_50_Off,facebook,promo_50_off,34921,698,778.6
2025-06-18,M-001,Promo_50_Off,facebook,promo_50_off,31912,638,816.65
2025-06-19,M-001,Promo_50_Off,facebook,promo_50_off,26811,536,746.9
2025-06-20,M-001,Promo_50_Off,facebook,promo_50_off,35945,718,942.05
2025-06-21,M-001,Promo_50_Off,facebook,promo_50_off,27238,544,863.29
2025-06-22,M-001,Promo_50_Off,facebook,promo_50_off,38979,779,738.72
2025-06-23,M-001,Promo_50_Off,facebook,promo_50_off,33292,665,1001.02
2025-06-24,M-001,Promo_50_Off,facebook,promo_50_off,26345,526,796.69
2025-06-25,M-001,Promo_50_Off,facebook,promo_50_off,29917,598,918.84
2025-06-26,M-001,Promo_50_Off,facebook,promo_50_off,35220,704,868.19
2025-06-27,M-001,Promo_50_Off,facebook,promo_50_off,32953,659,910.87
2025-06-28,M-001,Promo_50_Off,facebook,promo_50_off,35846,716,938.22
2025-06-29,M-001,Promo_50_Off,facebook,promo_50_off,36032,720,718.31
2025-06-30,M-001,Promo_50_Off,facebook,promo_50_off,36392,727,819.11
2025-07-01,M-001,Promo_50_Off,facebook,promo_50_off,33227,664,1016.33
2025-07-02,M-001,Promo_50_Off,facebook,promo_50_off,37887,757,790.47
2025-07-03,M-001,Promo_50_Off,facebook,promo_50_off,27767,555,819.41
2025-07-04,M-001,Promo_50_Off,facebook,promo_50_off,26499,529,919.5
2025-07-05,M-001,Promo_50_Off,facebook,promo_50_off,37827,756,793.42
2025-07-06,M-001,Promo_50_Off,facebook,promo_50_off,19005,380,844.0
2025-07-07,M-001,Promo_50_Off,facebook,promo_50_off,31219,624,743.59
2025-07-08,M-001,Promo_50_Off,facebook,promo_50_off,29504,590,984.66
2025-07-09,M-001,Promo_50_Off,facebook,promo_50_off,29772,595,824.33
2025-07-10,M-001,Promo_50_Off,facebook,promo_50_off,37218,744,791.78
2025-07-11,M-001,Promo_50_Off,facebook,promo_50_off,32848,656,844.77
2025-07-12,M-001,Promo_50_Off,facebook,promo_50_off,33545,670,791.03
2025-07-13,M-001,Promo_50_Off,facebook,promo_50_off,29799,595,656.92
2025-07-14,M-001,Promo_50_Off,facebook,promo_50_off,26736,534,755.38
2025-07-15,M-001,Promo_50_Off,facebook,promo_50_off,22080,441,876.04
2025-07-16,M-001,Promo_50_Off,facebook,promo_50_off,29761,595,799.64
2025-07-17,M-001,Promo_50_Off,facebook,promo_50_off,28895,577,802.69
2025-07-18,M-001,Promo_50_Off,facebook,promo_50_off,26590,531,699.84
2025-07-19,M-001,Promo_50_Off,facebook,promo_50_off,27144,542,857.26
2025-07-20,M-001,Promo_50_Off,facebook,promo_50_off,26765,535,869.82
2025-07-21,M-001,Promo_50_Off,facebook,promo_50_off,35247,704,746.48
2025-07-22,M-001,Promo_50_Off,facebook,promo_50_off,26554,531,973.6
2025-07-23,M-001,Promo_50_Off,facebook,promo_50_off,28398,567,842.42
2025-07-24,M-001,Promo_50_Off,facebook,promo_50_off,40711,814,972.75
2025-07-25,M-001,Promo_50_Off,facebook,promo_50_off,33067,661,697.72
2025-07-26,M-001,Promo_50_Off,facebook,promo_50_off,33235,664,751.68
2025-07-27,M-001,Promo_50_Off,facebook,promo_50_off,31122,622,904.71
2025-07-28,M-001,Promo_50_Off,facebook,promo_50_off,29807,596,782.74
2025-07-29,M-001,Promo_50_Off,facebook,promo_50_off,37382,747,938.01
2025-07-30,M-001,Promo_50_Off,facebook,promo_50_off,31303,626,744.97
2025-07-31,M-001,Promo_50_Off,facebook,promo_50_off,32718,654,762.94
2025-08-01,M-001,Awareness_Geral,facebook,awareness_geral,6260,125,281.88
2025-08-02,M-001,Awareness_Geral,facebook,awareness_geral,7532,150,317.33
2025-08-03,M-001,Awareness_Geral,facebook,awareness_geral,6717,134,349.81
2025-08-04,M-001,Awareness_Geral,facebook,awareness_geral,9500,190,342.51
2025-08-05,M-001,Awareness_Geral,facebook,awareness_geral,10076,201,319.1
2025-08-06,M-001,Awareness_Geral,facebook,awareness_geral,7740,154,290.18
2025-08-07,M-001,Awareness_Geral,facebook,awareness_geral,8051,161,336.63
2025-08-08,M-001,Awareness_Geral,facebook,awareness_geral,8916,178,317.32
2025-08-09,M-001,Awareness_Geral,facebook,awareness_geral,7860,157,355.41
2025-08-10,M-001,Awareness_Geral,facebook,awareness_geral,7376,147,395.7
2025-08-11,M-001,Awareness_Geral,facebook,awareness_geral,8495,169,307.52
2025-08-12,M-001,Awareness_Geral,facebook,awareness_geral,8201,164,352.53
2025-08-13,M-001,Awareness_Geral,facebook,awareness_geral,6856,137,381.67
2025-08-14,M-001,Awareness_Geral,facebook,awareness_geral,7935,158,316.44
2025-08-15,M-001,Awareness_Geral,facebook,awareness_geral,8453,169,287.79
2025-08-16,M-001,Awareness_Geral,facebook,awareness_geral,8597,171,335.06
2025-08-17,M-001,Awareness_Geral,facebook,awareness_geral,8125,162,291.35
2025-08-18,M-001,Awareness_Geral,facebook,awareness_geral,9594,191,257.65
2025-08-19,M-001,Awareness_Geral,facebook,awareness_geral,6676,133,382.1
2025-08-20,M-001,Awareness_Geral,facebook,awareness_geral,8981,179,283.76
2025-08-21,M-001,Awareness_Geral,facebook,awareness_geral,6354,127,351.13
2025-08-22,M-001,Awareness_Geral,facebook,awareness_geral,8594,171,342.67
2025-08-23,M-001,Awareness_Geral,facebook,awareness_geral,7937,158,262.3
2025-08-24,M-001,Awareness_Geral,facebook,awareness_geral,7011,140,244.82
2025-08-25,M-001,Awareness_Geral,facebook,awareness_geral,6429,128,250.52
2025-08-26,M-001,Awareness_Geral,facebook,awareness_geral,8550,171,251.58
2025-08-27,M-001,Awareness_Geral,facebook,awareness_geral,8319,166,220.35
2025-08-28,M-001,Awareness_Geral,facebook,awareness_geral,8223,164,368.21
2025-08-29,M-001,Awareness_Geral,facebook,awareness_geral,8543,170,302.44
2025-08-30,M-001,Awareness_Geral,facebook,awareness_geral,6597,131,387.48
2025-08-31,M-001,Awareness_Geral,facebook,awareness_geral,8894,177,285.25
2025-09-01,M-001,Awareness_Geral,facebook,awareness_geral,7164,143,407.26
2025-09-02,M-001,Awareness_Geral,facebook,awareness_geral,8413,168,290.74
2025-09-03,M-001,Awareness_Geral,facebook,awareness_geral,8963,179,410.53
2025-09-04,M-001,Awareness_Geral,facebook,awareness_geral,10579,211,259.82
2025-09-05,M-001,Awareness_Geral,facebook,awareness_geral,8568,171,381.42
2025-09-06,M-001,Awareness_Geral,facebook,awareness_geral,6985,139,267.54
2025-09-07,M-001,Awareness_Geral,facebook,awareness_geral,8233,164,222.21
2025-09-08,M-001,Awareness_Geral,facebook,awareness_geral,8374,167,361.38
2025-09-09,M-001,Awareness_Geral,facebook,awareness_geral,7294,145,297.21
2025-09-10,M-001,Awareness_Geral,facebook,awareness_geral,7079,141,308.47
2025-09-11,M-001,Awareness_Geral,facebook,awareness_geral,7264,145,361.8
2025-09-12,M-001,Awareness_Geral,facebook,awareness_geral,7683,153,360.65
2025-09-13,M-001,Awareness_Geral,facebook,awareness_geral,8192,163,284.54
2025-09-14,M-001,Awareness_Geral,facebook,awareness_geral,8956,179,260.7
2025-09-15,M-001,Awareness_Geral,facebook,awareness_geral,6896,137,192.36
2025-09-16,M-001,Awareness_Geral,facebook,awareness_geral,8838,176,304.09
2025-09-17,M-001,Awareness_Geral,facebook,awareness_geral,8267,165,316.08
2025-09-18,M-001,Awareness_Geral,facebook,awareness_geral,7244,144,326.83
2025-09-19,M-001,Awareness_Geral,facebook,awareness_geral,9085,181,323.73
2025-09-20,M-001,Awareness_Geral,facebook,awareness_geral,8557,171,300.52
2025-09-21,M-001,Awareness_Geral,facebook,awareness_geral,7390,147,290.65
2025-09-22,M-001,Awareness_Geral,facebook,awareness_geral,8486,169,303.22
2025-09-23,M-001,Awareness_Geral,facebook,awareness_geral,6790,135,330.0
2025-09-24,M-001,Awareness_Geral,facebook,awareness_geral,9490,189,307.43
2025-09-25,M-001,Awareness_Geral,facebook,awareness_geral,7611,152,308.52
2025-09-26,M-001,Awareness_Geral,facebook,awareness_geral,9190,183,347.48
2025-09-27,M-001,Awareness_Geral,facebook,awareness_geral,6633,132,288.76
2025-09-28,M-001,Awareness_Geral,facebook,awareness_geral,8759,175,271.17
2025-09-29,M-001,Awareness_Geral,facebook,awareness_geral,6521,130,309.17
2025-09-30,M-001,Awareness_Geral,facebook,awareness_geral,7026,140,359.83
2025-10-01,M-001,Awareness_Geral,facebook,awareness_geral,7556,151,255.76
2025-10-02,M-001,Awareness_Geral,facebook,awareness_geral,6386,127,373.56
2025-10-03,M-001,Awareness_Geral,facebook,awareness_geral,7394,147,391.3
2025-10-04,M-001,Awareness_Geral,facebook,awareness_geral,7394,147,337.1
2025-10-05,M-001,Awareness_Geral,facebook,awareness_geral,8032,160,262.33
2025-10-06,M-001,Awareness_Geral,facebook,awareness_geral,8136,162,281.73
2025-10-07,M-001,Awareness_Geral,facebook,awareness_geral,9200,184,267.16
2025-10-08,M-001,Awareness_Geral,facebook,awareness_geral,8718,174,349.8
2025-10-09,M-001,Awareness_Geral,facebook,awareness_geral,7677,153,287.46
2025-10-10,M-001,Awareness_Geral,facebook,awareness_geral,10165,203,267.82
2025-10-11,M-001,Awareness_Geral,facebook,awareness_geral,9528,190,325.39
2025-10-12,M-001,Awareness_Geral,facebook,awareness_geral,7160,143,247.76
2025-10-13,M-001,Awareness_Geral,facebook,awareness_geral,7778,155,286.16
2025-10-14,M-001,Awareness_Geral,facebook,awareness_geral,7416,148,291.64
2025-10-15,M-001,Awareness_Geral,facebook,awareness_geral,8490,169,336.74
2025-10-16,M-001,Awareness_Geral,facebook,awareness_geral,6703,134,319.98
2025-10-17,M-001,Awareness_Geral,facebook,awareness_geral,9238,184,301.06
2025-10-18,M-001,Awareness_Geral,facebook,awareness_geral,10601,212,328.28
2025-10-19,M-001,Awareness_Geral,facebook,awareness_geral,9289,185,333.66
2025-10-20,M-001,Awareness_Geral,facebook,awareness_geral,7149,142,270.97
2025-10-21,M-001,Awareness_Geral,facebook,awareness_geral,6804,136,322.23
2025-10-22,M-001,Awareness_Geral,facebook,awareness_geral,8014,160,260.76
2025-10-23,M-001,Awareness_Geral,facebook,awareness_geral,7112,142,278.13
2025-10-24,M-001,Awareness_Geral,facebook,awareness_geral,7600,152,311.23
2025-10-25,M-001,Awareness_Geral,facebook,awareness_geral,6474,129,363.13
2025-10-26,M-001,Awareness_Geral,facebook,awareness_geral,8184,163,377.11
2025-10-27,M-001,Awareness_Geral,facebook,awareness_geral,9024,180,329.63
2025-10-28,M-001,Awareness_Geral,facebook,awareness_geral,7996,159,291.49
2025-10-29,M-001,Awareness_Geral,facebook,awareness_geral,8088,161,373.88
2025-10-30,M-001,Awareness_Geral,facebook,awareness_geral,6133,122,295.87
2025-10-31,M-001,Awareness_Geral,facebook,awareness_geral,6975,139,392.7
2025-11-01,M-001,Awareness_Geral,facebook,awareness_geral,7040,140,281.39
2025-11-02,M-001,Awareness_Geral,facebook,awareness_geral,7511,150,244.02
2025-11-03,M-001,Awareness_Geral,facebook,awareness_geral,7852,157,276.7
2025-11-04,M-001,Awareness_Geral,facebook,awareness_geral,6830,136,156.39
2025-11-05,M-001,Awareness_Geral,facebook,awareness_geral,7542,150,269.89
2025-11-06,M-001,Awareness_Geral,facebook,awareness_geral,8766,175,361.35
2025-11-07,M-001,Awareness_Geral,facebook,awareness_geral,7173,143,288.68
2025-11-08,M-001,Awareness_Geral,facebook,awareness_geral,9492,189,286.44
2025-11-09,M-001,Awareness_Geral,facebook,awareness_geral,8884,177,336.84
2025-11-10,M-001,Awareness_Geral,facebook,awareness_geral,6437,128,273.55
2025-11-11,M-001,Awareness_Geral,facebook,awareness_geral,6643,132,323.32
2025-11-12,M-001,Awareness_Geral,facebook,awareness_geral,7265,145,259.49
2025-11-13,M-001,Awareness_Geral,facebook,awareness_geral,8061,161,321.44
2025-11-14,M-001,Awareness_Geral,facebook,awareness_geral,7172,143,304.31
2025-11-15,M-001,Awareness_Geral,facebook,awareness_geral,8903,178,181.85
2025-11-16,M-001,Awareness_Geral,facebook,awareness_geral,8020,160,263.6
2025-11-17,M-001,Awareness_Geral,facebook,awareness_geral,7200,144,275.86
2025-11-18,M-001,Awareness_Geral,facebook,awareness_geral,8323,166,287.38
2025-11-19,M-001,Awareness_Geral,facebook,awareness_geral,7922,158,290.98
2025-11-20,M-001,Awareness_Geral,facebook,awareness_geral,7573,151,357.42
2025-11-21,M-001,Awareness_Geral,facebook,awareness_geral,7331,146,393.66
2025-11-22,M-001,Awareness_Geral,facebook,awareness_geral,8067,161,342.64
2025-11-23,M-001,Awareness_Geral,facebook,awareness_geral,9029,180,283.26
2025-11-24,M-001,Awareness_Geral,facebook,awareness_geral,10062,201,246.62
2025-11-25,M-001,Awareness_Geral,facebook,awareness_geral,8452,169,246.88
2025-11-26,M-001,Awareness_Geral,facebook,awareness_geral,9187,183,429.48
2025-11-27,M-001,Awareness_Geral,facebook,awareness_geral,7646,152,316.92
2025-11-28,M-001,Awareness_Geral,facebook,awareness_geral,6993,139,356.99
2025-11-29,M-001,Awareness_Geral,facebook,awareness_geral,7392,147,364.85
2025-11-30,M-001,Awareness_Geral,facebook,awareness_geral,8840,176,327.34
2025-12-01,M-001,Awareness_Geral,facebook,awareness_geral,7077,141,380.77
2025-12-02,M-001,Awareness_Geral,facebook,awareness_geral,8998,179,278.42
2025-12-03,M-001,Awareness_Geral,facebook,awareness_geral,8324,166,241.05
2025-12-04,M-001,Awareness_Geral,facebook,awareness_geral,8283,165,287.05
2025-12-05,M-001,Awareness_Geral,facebook,awareness_geral,6654,133,306.32
2025-12-06,M-001,Awareness_Geral,facebook,awareness_geral,8513,170,308.98
2025-12-07,M-001,Awareness_Geral,facebook,awareness_geral,9109,182,320.49
2025-12-08,M-001,Awareness_Geral,facebook,awareness_geral,7867,157,251.27
2025-12-09,M-001,Awareness_Geral,facebook,awareness_geral,8847,176,273.23
2025-12-10,M-001,Awareness_Geral,facebook,awareness_geral,8709,174,278.23
2025-12-11,M-001,Awareness_Geral,facebook,awareness_geral,8615,172,253.23
2025-12-12,M-001,Awareness_Geral,facebook,awareness_geral,8367,167,391.91
2025-12-13,M-001,Awareness_Geral,facebook,awareness_geral,7696,153,340.0
